ANIM/j_Clavicle_L:ry	1.85634100	1.75105600	1.46998100	1.06528500	0.58913700	0.09370700	-0.36883700	-0.74632400	-0.98658700	-1.10222300	-1.14488100	-1.12096700	-1.03688700	-0.89904700	-0.71385300	-0.48771200	-0.22702900	0.06179000	0.37233900	0.69821100	1.03300100	1.37030300	1.70371000	2.02681600	2.33321700	2.61650400	2.87027300	3.08811800	3.26363100	3.38014700	3.42935900	3.41740700	3.35042700	3.23455600	3.07593300	2.88069500	2.65497900	2.40492300	2.13666400	1.85634100
ANIM/j_Clavicle_L:rz	-18.13295900	-17.98066300	-17.57331800	-16.98523100	-16.29072000	-15.56409200	-14.87966000	-14.31173600	-13.93463000	-13.71685300	-13.57402100	-13.50109900	-13.49305000	-13.54484600	-13.65144900	-13.80782800	-14.00895000	-14.31393300	-14.75015700	-15.26498000	-15.80575800	-16.31984700	-16.75460600	-17.05739000	-17.19996500	-17.22257800	-17.17532300	-17.10829700	-17.07159000	-17.04263700	-16.98359100	-16.92162500	-16.88391300	-16.89762900	-16.98994100	-17.20515300	-17.51249100	-17.82652700	-18.06182900	-18.13295900
ANIM/j_Clavicle_R:rx	1.38488700	1.36735100	1.31959200	1.24887800	1.16248100	1.06767200	0.97172100	0.88189800	0.80547400	0.74972000	0.72190600	0.72419200	0.75170600	0.80117400	0.86932000	0.95287000	1.04854900	1.15308200	1.26319400	1.37561000	1.48705400	1.59425300	1.69393200	1.78281400	1.85762500	1.91509200	1.95193700	1.96885700	1.96980200	1.95637700	1.93018600	1.89283500	1.84592900	1.79107400	1.72987400	1.66393400	1.59486100	1.52425800	1.45373200	1.38488700
ANIM/j_Clavicle_R:ry	3.59138200	3.51144200	3.29339300	2.96988800	2.57358100	2.13712500	1.69317400	1.27438300	0.91340500	0.64289400	0.49550300	0.47159100	0.54220900	0.69604800	0.92179800	1.20815200	1.54380100	1.91743600	2.31774800	2.73342800	3.15316800	3.56565900	3.95959200	4.32365900	4.64655100	4.91695900	5.12357400	5.25821300	5.32493000	5.33077000	5.28278400	5.18801500	5.05351200	4.88632100	4.69349100	4.48206700	4.25909700	4.03162800	3.80670800	3.59138200
ANIM/j_Clavicle_R:rz	14.11293000	14.69303600	15.06214600	15.28154300	15.41250900	15.51632300	15.65427000	15.79245500	15.87067400	15.91075100	15.93449900	15.96374300	16.02030000	16.12598800	16.30262900	16.68335700	17.16479100	17.41397100	17.34748600	17.12892500	16.79581300	16.38567500	15.93603700	15.48442800	15.06837600	14.72540300	14.49304000	14.35107300	14.25021600	14.18437800	14.14747300	14.13341600	14.13611800	14.14948900	14.16744700	14.18390000	14.19276100	14.18794600	14.16336300	14.11293000
ANIM/j_Elbow_L:rx	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
ANIM/j_Elbow_L:ry	-37.85580800	-37.85259600	-37.84416600	-37.83230200	-37.81878700	-37.80541600	-37.79397600	-37.78625500	-37.78403900	-37.78594600	-37.78925300	-37.79373900	-37.79918300	-37.80537000	-37.81206900	-37.81907300	-37.82615700	-37.83309600	-37.83968000	-37.84568400	-37.85088300	-37.85506800	-37.85800900	-37.85861200	-37.85729200	-37.85611000	-37.85712800	-37.86052300	-37.86463900	-37.86877800	-37.87224600	-37.87434000	-37.87437100	-37.86994900	-37.86663100	-37.87115500	-37.87780800	-37.87910800	-37.87017400	-37.85580800
ANIM/j_Elbow_L:rz	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
ANIM/j_Elbow_R:rx	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
ANIM/j_Elbow_R:ry	17.33883100	16.82104900	15.78152000	14.99098000	14.67008500	14.49434800	14.41679100	14.39043600	14.36830000	14.87214400	15.18558000	13.94394000	14.71493300	16.03809900	15.99345600	15.21171000	14.76127000	15.47456500	16.80579000	18.01014700	19.21454200	20.72759100	22.94456100	25.19452100	26.80367900	27.96914700	28.70659400	29.03170000	28.98894100	28.58885800	27.79622300	26.57580000	24.69482000	22.78488900	21.40619700	20.25735100	19.30727200	18.52487400	17.87908700	17.33883100
